fpr_train,tpr_train,fpr_valid,tpr_valid,fpr_test,tpr_test
1.0,1.0,1.0,1.0,1.0,1.0
0.9329261462454088,0.99893892949776,0.9329147506190307,0.9998231340643792,0.932927422421493,0.9988946856485985
0.8703565048726852,0.9987620844140533,0.870357269189954,0.9998231340643792,0.8703561227106713,0.998585197630206
0.811978610886752,0.998526290969111,0.8119738238415282,0.9994694021931376,0.8119810044305309,0.9980988593155894
0.757521268254146,0.9981136524404621,0.757516802263884,0.9985850725150336,0.7575235012690243,0.997877796445309
0.706713280941404,0.9979368073567555,0.7067032189600283,0.9980544747081712,0.7067094686015971,0.9975240958528605
0.6593188263107317,0.9976420655505777,0.6593031482136541,0.9977007428369296,0.6593178220536086,0.9970819701122999
0.6150961861583902,0.9971115302994576,0.6150866643084542,0.9969932790944465,0.6150965254379681,0.9966398443717394
0.5738390156763098,0.996404149964631,0.5738415281216838,0.9959320834807216,0.5738421811300064,0.9959324431868424
0.5353527611883103,0.9956378212685687,0.5353555005305978,0.9957552175451008,0.5353558131925468,0.9952250420019454
0.49944876458415627,0.9948714925725065,0.49943402900601347,0.9954014856738592,0.49944728906339814,0.9946060659651605
0.46595015888550223,0.9939283187927376,0.465935620799434,0.9943402900601345,0.46594858461783356,0.9938986647802635
0.4346977638118371,0.9930440933742042,0.43470109656880085,0.9939865581888928,0.4347005191061117,0.9928817755769741
0.40554419021453963,0.9922188163169063,0.40553590378493104,0.9925716307039264,0.40554391177849114,0.9924396498364135
0.37834204894498846,0.9911577458146663,0.37833392288645207,0.9908029713477184,0.3783461120101876,0.9911574851887877
0.35296753311834167,0.9898019335062486,0.35295366112486737,0.9900955076052352,0.3529700474889237,0.989919533115218
0.3292968358497574,0.9880924310304173,0.32928899893880437,0.9897417757339936,0.32929633265239344,0.9880626050048634
0.3072002546884488,0.9860292383871728,0.30719844357976656,0.988503714184648,0.30721000362578377,0.986338314616677
0.2866011472771329,0.9849092195236973,0.2865935620799434,0.9860275910859568,0.286604939909267,0.9851445751171634
0.26737570673096767,0.9830228719641594,0.2673682348779625,0.9842589317297489,0.2673838643780012,0.9831992218586966
0.24944729069267005,0.9811365244046215,0.24943402900601344,0.9821365405022993,0.24944949990714457,0.9808559554337254
0.2327156745411776,0.9788375383164348,0.2327201980898479,0.9793066855323664,0.23271783443433353,0.9788221770271465
0.21711011148515202,0.9766564489507191,0.2171029359745313,0.9766536964980544,0.21710927758469742,0.975550446546998
0.2025480636013654,0.9738269276114124,0.2025468694729395,0.9732932437212592,0.20254866067085842,0.9731629675479706
0.18896467966442437,0.9711153029945767,0.1889635656172621,0.9704633887513265,0.18896081500543868,0.96980281191971
0.1762892128829907,0.9678141947653855,0.1762822780332508,0.9665723381676689,0.1762882586510316,0.9663542311433372
0.16446270759761583,0.9639825512850743,0.1644499469402193,0.9612663600990449,0.16446466629524492,0.9623750994782916
0.1534321037147961,0.9602098561659986,0.1534311991510435,0.957729041386629,0.1534325560006721,0.9583959678132461
0.14314434114102784,0.9563782126856873,0.14313760169791298,0.9538379908029714,0.14314328920489217,0.9539747104076399
0.1335404642168625,0.9520749823154916,0.13353378139370356,0.9495932083480721,0.13354380565799132,0.9487576266690246
0.12458509954663098,0.9467696298042915,0.12458436505129113,0.9434029006013441,0.12458546679754862,0.9440268812450261
0.11623108260277445,0.9408158453195001,0.1162186062964273,0.937389458790237,0.11622847743612873,0.9387213723582987
0.1084312488577341,0.9344494223060599,0.10843650512911213,0.9301379554297842,0.10843304238629631,0.9322663365461137
0.10116201604773051,0.926962980429144,0.1011496285815352,0.9239476476830563,0.10116378814810885,0.9258113007339287
0.09437621964520485,0.9189460033011082,0.09437566324725857,0.9156349487088786,0.0943764978466382,0.9169687859227165
0.08804438182043285,0.9110469228955435,0.08804386275203396,0.9074991156703219,0.08804464135692745,0.9088336722964011
0.08214292030963512,0.901792030181561,0.08213654050229925,0.8988326848249028,0.08214168855401975,0.8999911574851888
0.07663056615119769,0.8918887054939872,0.07661832331093031,0.8903431199151044,0.07663226593797257,0.8898664780263507
0.07148963264728597,0.8815137939165292,0.07148921117792713,0.8804386275203396,0.07149426507132182,0.8795207356972323
0.06669653753412058,0.8707851921716576,0.06669614432260347,0.8692960735762292,0.06669673414161781,0.8681581041648245
0.062221802981977256,0.859938693704315,0.06222143615139724,0.85620799434029,0.06222198639888927,0.8568838977805288
0.05804774229302142,0.8460268804527235,0.05804740007074637,0.8418818535550053,0.05804791340567214,0.8439738261561588
0.05415666876941852,0.8306413581702429,0.054156349487088785,0.8259639193491334,0.05415682841199515,0.8304005659209479
0.05052500014738915,0.8125442112709267,0.050512911213300316,0.8114609126282278,0.05052220129290142,0.8132902997612521
0.047135049729098745,0.7948007545390238,0.04713477184294305,0.7950123806154935,0.04713518867340532,0.7951631443982669
0.0439750263826576,0.7767625560009431,0.04396887159533074,0.7734347364697559,0.043973682116042766,0.7769475638871695
0.041021347844286314,0.7585475123791559,0.04101521047046339,0.7518570923240184,0.04102441655833532,0.7579803696171191
0.03827401411398487,0.7364418769158217,0.038273788468341,0.7258577997877609,0.03827412693780454,0.7345919179414625
0.03570354736202902,0.7104456496109408,0.035691545808277325,0.701980898478953,0.03570512650447917,0.7121761428950394
0.03330994758841875,0.6814430558830464,0.033303855677396535,0.672798019101521,0.03330857188337357,0.6859580864797948
0.03107552809531951,0.6489625088422541,0.031075344888574462,0.6308807923593915,0.031075619699502118,0.6577946768060836
0.028988497750841592,0.6169535486913463,0.02898832684824903,0.5912628227803325,0.028993004890386368,0.6251657971527103
