recall_TopPush,precision_TopPush,recall_TopPushK,precision_TopPushK,recall_PatMatNP,precision_PatMatNP
0.43,0.9576837416481069,0.43,0.9619686800894854,0.44,0.9649122807017544
0.42,0.958904109589041,0.42,0.9610983981693364,0.43,0.9662921348314607
0.41,0.9601873536299765,0.41,0.9624413145539906,0.42,0.9699769053117783
0.4,0.9615384615384616,0.4,0.966183574879227,0.41,0.9692671394799054
0.39,0.9605911330049262,0.39,0.972568578553616,0.4,0.975609756097561
0.38,0.9620253164556962,0.38,0.9718670076726342,0.39,0.975
0.37,0.9635416666666666,0.37,0.9711286089238845,0.38,0.9743589743589743
0.36,0.967741935483871,0.36,0.972972972972973,0.37,0.9736842105263158
0.35,0.9722222222222222,0.35,0.9776536312849162,0.36,0.975609756097561
0.341,0.9715099715099715,0.341,0.9770773638968482,0.35,0.9749303621169917
0.331,0.9735294117647059,0.331,0.976401179941003,0.341,0.9742857142857143
0.321,0.9756838905775076,0.321,0.9756838905775076,0.331,0.9792899408284024
0.31,0.9779179810725552,0.31,0.9810126582278481,0.321,0.9786585365853658
0.3,0.9803921568627451,0.3,0.9836065573770492,0.31,0.9779179810725552
0.29,0.9830508474576272,0.29,0.9830508474576272,0.3,0.9836065573770492
0.28,0.9824561403508771,0.28,0.9859154929577465,0.29,0.9830508474576272
0.27,0.9854014598540146,0.27,0.989010989010989,0.28,0.9859154929577465
0.26,0.9848484848484849,0.26,0.9885931558935361,0.27,0.9926470588235294
0.25,0.9881422924901185,0.25,0.9920634920634921,0.26,0.9923664122137404
0.24,0.9917355371900827,0.24,0.995850622406639,0.25,0.9920634920634921
0.23,0.9913793103448276,0.238,0.99581589958159,0.24,0.9917355371900827
0.22,0.990990990990991,0.23,0.9956709956709957,0.23,0.9913793103448276
0.21,0.9905660377358491,0.22,0.995475113122172,0.22,0.990990990990991
0.2,0.9950248756218906,0.21,0.995260663507109,0.21,0.9905660377358491
0.19,0.9947643979057592,0.2,0.9950248756218906,0.2,0.9900990099009901
0.18,0.994475138121547,0.19,0.9947643979057592,0.19,0.9895833333333334
0.17,0.9941520467836257,0.18,0.994475138121547,0.18,0.989010989010989
0.16,0.9937888198757764,0.17,0.9941520467836257,0.17,0.9883720930232558
0.15,0.9933774834437086,0.16,0.9937888198757764,0.16,0.9876543209876543
0.14,0.9929078014184397,0.15,0.9933774834437086,0.15,0.9868421052631579
0.13,0.9923664122137404,0.14,0.9929078014184397,0.14,0.9929078014184397
0.12,0.9917355371900827,0.13,1.0,0.13,0.9923664122137404
0.11,0.990990990990991,0.12,1.0,0.12,1.0
