t_primal,L_primal,t_dual,L_dual
4.315376281738281e-5,11.300040801835983,0.010508060455322266,-12.239908288687065
0.0013570785522460938,10.646620056244746,0.015503883361816406,-3.609586324199091
0.0025970935821533203,10.00258664908454,0.019255876541137695,1.4165897073842704
0.0038480758666992188,9.563927266506173,0.02208995819091797,3.1141498908118352
0.005198955535888672,9.161536983184908,0.02771306037902832,3.881595957837243
0.007665157318115234,8.789555547203124,0.03313803672790527,4.280013659912271
0.01691913604736328,8.466479650838167,0.03647208213806152,4.523412625808897
0.01803112030029297,8.234760496208173,0.039411067962646484,4.668501487884356
0.019106149673461914,7.97007997544488,0.04353809356689453,4.817178511222631
0.020164966583251953,7.747931776186665,0.04835104942321777,4.95209331566207
0.02122211456298828,7.535276576527757,0.0592188835144043,5.067875797018349
0.023170948028564453,7.397260339632923,0.06373906135559082,5.156835062380866
0.03339695930480957,7.266850176400692,0.06833195686340332,5.205208386916524
0.0345151424407959,7.100367420922427,0.07120490074157715,5.256025934081279
0.03558707237243652,7.006472073675358,0.07395601272583008,5.300065260495485
0.03687596321105957,6.875944204467942,0.07803893089294434,5.331990801591926
0.03881096839904785,6.783303456297115,0.0837249755859375,5.356828482582946
0.04110312461853027,6.668694427948912,0.0867469310760498,5.382955072542876
0.043190956115722656,6.6083775957686575,0.08944296836853027,5.397390318800863
0.05132102966308594,6.5252197612239256,0.09064292907714844,5.410668285117595
0.05274796485900879,6.4598777917265995,0.09312295913696289,5.4215323410137355
0.05455303192138672,6.3966898419732745,0.09517788887023926,5.430192940457812
0.05675506591796875,6.342521584901051,0.09750890731811523,5.436956665910164
0.058750152587890625,6.286460359455319,0.09963703155517578,5.444006648092541
0.06161808967590332,6.238135149995413,0.1011970043182373,5.44763631689162
0.06907010078430176,6.20781310550288,0.1023859977722168,5.450569457443881
0.07022809982299805,6.142076253395148,0.10358595848083496,5.452832750447712
0.07139205932617188,6.110894890871306,0.10476207733154297,5.455349311377276
0.07284998893737793,6.053178975369865,0.10596108436584473,5.457420808635648
0.07488203048706055,6.037713000681351,0.10750889778137207,5.458831785108449
0.07719302177429199,5.998060734486653,0.10996890068054199,5.460171004300583
0.08855009078979492,5.9786260162116625,0.11170387268066406,5.461214164910305
0.0914011001586914,5.931646479986042,0.11417007446289062,5.462815982897478
0.09438300132751465,5.921297754914781,0.11632990837097168,5.46385372416168
0.09691214561462402,5.911384184783746,0.11790704727172852,5.464494958196398
0.09854698181152344,5.891712925019867,0.11910605430603027,5.464807834297766
0.1003580093383789,5.8476217107958455,0.12555694580078125,5.465017617250338
0.10589313507080078,5.8275761867178515,0.1273670196533203,5.4651234893853085
0.10824108123779297,5.80705526883631,0.1296849250793457,5.46529891551085
0.10968708992004395,5.806047291877313,0.13198399543762207,5.465400751802237
0.1108551025390625,5.778420441652921,0.13396906852722168,5.4654644383791915
0.11307597160339355,5.762415599154143,0.13519501686096191,5.4655172266440575
0.11537313461303711,5.760273938787967,0.13642406463623047,5.465567332940262
0.12497806549072266,5.746312980321758,0.13761091232299805,5.465628016342603
0.12722206115722656,5.723538818783633,0.1388380527496338,5.465652073290439
0.12964415550231934,5.72164065474423,0.14016103744506836,5.46566691730022
0.13225603103637695,5.733030070715967,0.14204692840576172,5.465688403479293
0.13439297676086426,5.703504261750844,0.14392709732055664,5.465707034165086
0.13636493682861328,5.68254507184131,0.14629507064819336,5.4657197510628714
0.14388012886047363,5.709225776513005,0.14854693412780762,5.465731176416165
0.14644813537597656,5.67360318925565,0.15058588981628418,5.465737197024478
0.14887595176696777,5.727118696891534,0.15182995796203613,5.465742653526453
0.15094995498657227,5.651112376176241,0.15301895141601562,5.465747977970175
0.1534709930419922,5.6420169973920995,0.1542060375213623,5.465750828717037
0.15577411651611328,5.627675560611355,0.15539193153381348,5.465753173164097
0.16852211952209473,5.628366711176198,0.15655994415283203,5.465754573064955
0.17086505889892578,5.608525294131632,0.1580829620361328,5.465755499659742
0.1732921600341797,5.612767709778339,0.1603240966796875,5.46575687218457
0.1750791072845459,5.61168104566881,0.16242098808288574,5.465757760521741
0.17760801315307617,5.599797137348407,0.1646430492401123,5.465758536572563
0.1795661449432373,5.646675785298929,0.16677308082580566,5.4657591116836
0.1817629337310791,5.61294929527719,0.17275094985961914,5.46575962049366
0.18587994575500488,5.587778166211159,0.17400407791137695,5.465759920644379
0.1869499683380127,5.57995085640524,0.17637205123901367,5.465760272654305
0.18801403045654297,5.583975022590787,0.17795395851135254,5.465760563625476
0.19038105010986328,5.5614383982869,0.18050694465637207,5.465760790731496
0.19203495979309082,5.553521119672906,0.18262505531311035,5.46576097029683
0.1944730281829834,5.555813820173329,0.18436503410339355,5.465761100656945
0.2006070613861084,5.5675939328745265,0.18560194969177246,5.465761213733124
0.2016890048980713,5.555050479797405,0.1867690086364746,5.465761286463915
0.20275115966796875,5.563137296841954,0.18797993659973145,5.465761340703707
0.20378899574279785,5.569100524724864,0.18914294242858887,5.465761388616998
0.204880952835083,5.551209657224545,0.19034504890441895,5.465761426203472
0.207381010055542,5.551001231305665,0.1924130916595459,5.465761462266319
0.2174060344696045,5.561349999479983,0.19472002983093262,5.465761492547916
0.21933197975158691,5.604802724223354,0.196943998336792,5.465761510927493
0.22044801712036133,5.553762632764967,0.19902586936950684,5.465761525533059
0.22154498100280762,5.539490121245317,0.20086288452148438,5.465761540004078
0.22415804862976074,5.543524493717245,0.20210790634155273,5.465761550357911
0.22569608688354492,5.538512124856003,0.2032768726348877,5.465761564201148
0.23571395874023438,5.537344979176737,0.20446395874023438,5.465761573601271
