xneg_TopPush,yneg_TopPush,xpos_TopPush,ypos_TopPush,xquant_TopPush,yquant_TopPush
-46.65063309730537,0.0007102344677773725,-23.493551700030842,0.0002457797266807138,16.99710054397583,4.949441464551063e-5
-46.20873637493725,0.0009652284347273224,-23.133757065947368,0.00023889155621458296,16.99710054397583,0.05629654777994632
-45.76683965256914,0.0012841781394473425,-22.77396243186389,0.0002263404163520999,,
-45.324942930201026,0.0016738794729751203,-22.414167797780415,0.00021227932205191466,,
-44.88304620783292,0.002139117700897134,-22.05437316369694,0.00020148565322213526,,
-44.441149485464805,0.002682062257619241,-21.694578529613462,0.00019855716871746345,,
-43.99925276309669,0.003302020804897239,-21.334783895529988,0.00020717000813966303,,
-43.55735604072858,0.003995724207363348,-20.97498926144651,0.00022953598545726557,,
-43.115459318360465,0.004758189261003454,-20.615194627363035,0.00026613055835032865,,
-42.67356259599235,0.0055840008091127815,-20.25539999327956,0.000315695056730688,,
-42.231665873624245,0.006468633232202214,-19.895605359196082,0.0003754676672502145,,
-41.78976915125613,0.007409297227227454,-19.535810725112608,0.0004415763654846661,,
-41.34787242888802,0.008404851559337147,-19.176016091029133,0.0005095300409331949,,
-40.905975706519904,0.009454597636726507,-18.816221456945655,0.0005747580820463005,,
-40.46407898415179,0.01055620758252927,-18.45642682286218,0.0006331562540054137,,
-40.022182261783676,0.011703455520826838,-18.096632188778706,0.0006815858562421906,,
-39.58028553941556,0.012884626907026795,-17.736837554695228,0.0007182474794451377,,
-39.138388817047456,0.01408233984006623,-17.377042920611753,0.0007428327336292173,,
-38.69649209467934,0.015275041904445261,-17.017248286528275,0.000756378500664383,,
-38.25459537231123,0.016439823704020612,-16.6574536524448,0.0007608266258586616,,
-37.812698649943115,0.017555683231778713,-16.297659018361326,0.0007584106573641636,,
-37.370801927575,0.018606216208846508,-15.93786438427785,0.0007510954786848867,,
-36.92890520520689,0.019580977790947748,-15.578069750194373,0.000740317202337727,,
-36.48700848283878,0.020475342475474556,-15.218275116110897,0.0007271698499806246,,
-36.04511176047067,0.021289312976484415,-14.85848048202742,0.0007129849643810948,,
-35.603215038102555,0.02202610213005962,-14.498685847943946,0.0007000362292839368,,
-35.16131831573444,0.022691260937274686,-14.13889121386047,0.0006919834944147974,,
-34.71942159336633,0.0232926862982373,-13.779096579776994,0.0006937249962605674,,
-34.277524870998214,0.02384124475285222,-13.419301945693519,0.0007105494265765639,,
-33.83562814863011,0.024351303615901432,-13.059507311610043,0.0007467832629911131,,
-33.39373142626199,0.024840396623138923,-12.699712677526566,0.0008043807025995197,,
-32.95183470389388,0.025327596039478668,-12.33991804344309,0.0008819874131899285,,
-32.509937981525766,0.025830737216686554,-11.980123409359615,0.0009748790549525289,,
-32.06804125915765,0.0263631623292427,-11.620328775276139,0.0010758763265420802,,
-31.626144536789543,0.026930887501440015,-11.260534141192663,0.00117698774416932,,
-31.18424781442143,0.02753098484548141,-10.900739507109186,0.0012712701344622945,,
-30.742351092053315,0.028151608953711015,-10.540944873025712,0.001354329648284547,,
-30.300454369685205,0.02877366553872557,-10.181150238942235,0.0014250371615971268,,
-29.85855764731709,0.029373764598451643,-9.82135560485876,0.0014853338819088148,,
-29.416660924948978,0.02992787761227274,-9.461560970775283,0.0015393263240625222,,
-28.974764202580868,0.03041501482275207,-9.101766336691808,0.0015920812734800105,,
-28.532867480212754,0.030820234603227897,-8.741971702608332,0.0016485544049292234,,
-28.09097075784464,0.031136403691148562,-8.382177068524856,0.0017129336839239607,,
-27.64907403547653,0.03136436884790598,-8.022382434441381,0.0017884406241831874,,
-27.207177313108417,0.0315115607781898,-7.662587800357905,0.0018774270289480333,,
-26.765280590740304,0.03158944010681733,-7.302793166274428,0.00198151931437915,,
-26.323383868372193,0.0316104762272586,-6.942998532190953,0.002101615905177128,,
-25.88148714600408,0.03158541250308954,-6.5832038981074765,0.0022376866792409534,,
-25.439590423635966,0.03152139857515986,-6.223409264024001,0.0023884734908977113,,
-24.997693701267856,0.03142125038901385,-5.863614629940525,0.002551273924656883,,
-24.555796978899743,0.031283772521521626,-5.503819995857049,0.0027219762155502947,,
-24.11390025653163,0.031104862895771933,-5.144025361773573,0.002895421924320245,,
-23.67200353416352,0.030879057284431556,-4.7842307276900975,0.003066057385204326,,
-23.230106811795405,0.030601221410907577,-4.424436093606621,0.003228749171302416,,
-22.78821008942729,0.030268183573052554,-4.064641459523146,0.0033796099071565066,,
-22.346313367059178,0.02988015136285706,-3.70484682543967,0.003516699065494011,,
-21.904416644691068,0.029441744769344594,-3.345052191356194,0.003640496205910666,,
-21.462519922322954,0.028962427438998885,-2.985257557272718,0.003754063954995561,,
-21.02062319995484,0.028456089825270002,-2.625462923189242,0.003862826428258126,,
-20.57872647758673,0.02793960624631554,-2.2656682891057662,0.003973917051878333,,
-20.136829755218617,0.02743039845540806,-1.9058736550222903,0.004095132087782165,,
-19.694933032850503,0.026943367145904836,-1.5460790209388144,0.004233661769385586,,
-19.253036310482393,0.026487887216143733,-1.1862843868553388,0.0043949043873520565,,
-18.81113958811428,0.026065733289656143,-0.8264897527718628,0.004581711385377818,,
-18.369242865746166,0.02567066670650153,-0.4666951186883869,0.004794299642270898,,
-17.927346143378056,0.02528995507131881,-0.10690048460491108,0.005030819575265939,,
-17.485449421009942,0.0249074598930701,0.2528941494785648,0.005288298702601986,,
-17.04355269864183,0.024507384055640232,0.6126887835620407,0.0055635439559382285,,
-16.60165597627372,0.024077571221973303,0.9724834176455165,0.005853678934283133,,
