xneg_TopPushK,yneg_TopPushK,xpos_TopPushK,ypos_TopPushK,xquant_TopPushK,yquant_TopPushK
-40.734708978364694,0.0020143902725621903,120.87101927480694,0.0033489817126037915,,
-35.560594016877914,0.0018977963514131468,125.43918384678072,0.0031431323503359606,,
-30.38647905539113,0.0017854692087243681,130.0073484187545,0.002928311735723045,,
-25.212364093904352,0.0016783409081017001,134.57551299072827,0.0026985405169596124,,
-20.038249132417572,0.0015766818323337927,139.14367756270207,0.0024541389212079353,,
-14.864134170930791,0.0014799431630204336,143.71184213467583,0.0022014042388077567,,
-9.690019209444012,0.0013869387380577708,148.2800067066496,0.0019502010095724875,,
-4.5159042479572316,0.0012963017914843211,152.8481712786234,0.0017107743452474888,,
0.658210713529549,0.001206995450543805,157.41633585059716,0.0014910851843463616,,
5.832325675016329,0.0011186370380348956,161.98450042257096,0.0012954097909438288,,
11.00644063650311,0.0010315168433761989,166.55266499454473,0.0011243043661337342,,
16.18055559798989,0.0009463637223519246,171.1208295665185,0.0009756123181091756,,
21.35467055947667,0.0008640210576264572,175.6889941384923,0.0008460120625471679,,
26.52878552096345,0.0007851917435080964,180.25715871046606,0.0007325566413662406,,
31.70290048245023,0.0007103224659252441,184.82532328243985,0.0006336897225974861,,
36.87701544393701,0.0006396076022515108,189.39348785441362,0.0005493880733201488,,
42.05113040542379,0.0005730599309156889,193.96165242638742,0.00048042047386940277,,
47.22524536691057,0.0005106119466086342,198.52981699836118,0.0004271255827251491,,
52.39936032839735,0.00045222927807336746,203.09798157033495,0.0003883625831993182,,
57.57347528988413,0.0003980058959533451,207.66614614230875,0.00036118767972930595,,
62.74759025137091,0.0003481892017768618,212.23431071428251,0.00034139220890660175,,
67.92170521285769,0.0003030954478235878,216.8024752862563,0.00032457074935449696,,
73.09582017434447,0.00026293608444017855,221.37063985823008,0.00030716674279668255,,
78.26993513583125,0.000227644403239829,225.93880443020385,0.0002870663465539944,,
83.44405009731803,0.00019680966989812297,230.50696900217764,0.0002636285236779815,,
88.6181650588048,0.00016976883074276057,235.0751335741514,0.0002373127776622211,,
93.7922800202916,0.00014581032749690429,239.6432981461252,0.00020916433081898583,,
98.96639498177838,0.00012437851593202377,244.21146271809897,0.00018036789749235977,,
104.14050994326516,0.00010517501380669953,248.77962729007274,0.0001519799177842665,,
109.31462490475194,8.812338887976564e-5,253.34779186204653,0.0001248552304541134,,
114.48873986623872,7.324292346035128e-5,257.9159564340203,9.97109051138792e-5,,
119.6628548277255,6.051508370559268e-5,262.4841210059941,7.722565969041001e-5,,
124.83696978921228,4.980892461898097e-5,267.0522855779679,5.807638323034159e-5,,
130.01108475069904,4.0883114241841296e-5,271.62045014994163,4.28659117511096e-5,,
135.18519971218583,3.343922887265101e-5,276.1886147219154,3.1967081788716324e-5,,
140.35931467367263,2.718560839712127e-5,280.7567792938892,2.5355339457778964e-5,,
145.5334296351594,2.1881798808925188e-5,285.32494386586296,2.250802984498085e-5,,
150.7075445966462,1.7354453615502e-5,289.89310843783676,2.2424563882424333e-5,,
155.88165955813295,1.3491254545735276e-5,294.46127300981055,2.378528901357337e-5,,
,,299.0294375817843,2.5223493996492583e-5,,
,,303.5976021537581,2.5637486046443255e-5,,
