xneg_PatMatNP,yneg_PatMatNP,xpos_PatMatNP,ypos_PatMatNP,xquant_PatMatNP,yquant_PatMatNP
-518.9503455290863,0.00012035382981479792,-341.3099841821924,7.052695840322955e-5,,
-513.8822623106752,0.00013825501047523683,-336.8827896764505,7.040426520674353e-5,,
-508.814179092264,0.00015847635155281613,-332.4555951707086,6.664263336129267e-5,,
-503.7460958738528,0.0001802968818600971,-328.0284006649667,6.0603855589585856e-5,,
-498.67801265544165,0.00020285415163982454,-323.6012061592248,5.426039628978141e-5,,
-493.6099294370305,0.00022538949403223382,-319.17401165348286,4.963258385704466e-5,,
-488.5418462186193,0.0002474297133771673,-314.74681714774096,4.8183728059575385e-5,,
-483.4737630002082,0.00026882244555020724,-310.31962264199905,5.0404679732814205e-5,,
-478.405679781797,0.0002896259404199178,-305.89242813625714,5.574866071989149e-5,,
-473.33759656338583,0.0003099387594694632,-301.4652336305152,6.292672727384901e-5,,
-468.26951334497465,0.00032978405399255,-297.03803912477326,7.041662479168598e-5,,
-463.2014301265635,0.0003491200844763435,-292.61084461903135,7.69573470185253e-5,,
-458.1333469081523,0.00036796719079048977,-288.18365011328945,8.184436950718632e-5,,
-453.06526368974113,0.0003865747365381346,-283.75645560754754,8.497450066113647e-5,,
-447.99718047132995,0.00040553284619664114,-279.3292611018056,8.671678142174178e-5,,
-442.9290972529188,0.0004257622539587818,-274.9020665960637,8.771789568596034e-5,,
-437.86101403450766,0.0004483699984603697,-270.4748720903218,8.868913613980733e-5,,
-432.7929308160965,0.0004744151950135005,-266.0476775845799,9.016207233825235e-5,,
-427.7248475976853,0.0005046678870246677,-261.620483078838,9.223141667016155e-5,,
-422.65676437927414,0.0005394499375697744,-257.193288573096,9.440517645027014e-5,,
-417.58868116086296,0.0005786152353201849,-252.76609406735415,9.572899114336675e-5,,
-412.5205979424518,0.0006216697375078585,-248.33889956161224,9.524247044379264e-5,,
-407.4525147240406,0.0006679766428301524,-243.9117050558703,9.260471820377425e-5,,
-402.38443150562944,0.0007169630497286647,-239.4845105501284,8.856479169449566e-5,,
-397.3163482872183,0.0007682505564959016,-235.05731604438648,8.499563231157553e-5,,
-392.24826506880714,0.0008216664910330429,-230.63012153864457,8.443963869482347e-5,,
-387.18018185039597,0.0008771424517682305,-226.20292703290266,8.93651870828327e-5,,
-382.1120986319848,0.0009345591945086879,-221.77573252716073,0.0001014407320941979,,
-377.0440154135736,0.0009936319990375307,-217.34853802141882,0.00012106507203842376,,
-371.97593219516244,0.0010539231036216163,-212.9213435156769,0.0001472482407554604,,
-366.90784897675127,0.0011150051969224563,-208.494149009935,0.00017783087346781966,,
-361.8397657583401,0.0011767062007320354,-204.0669545041931,0.0002099876062588607,,
-356.771682539929,0.0012392979170854743,-199.63975999845115,0.0002409299213299254,,
-351.7035993215178,0.0013035010695872885,-195.21256549270925,0.00026866034370963854,,
-346.6355161031066,0.0013702684458189954,-190.78537098696734,0.00029255516292820083,,
-341.56743288469545,0.0014404220900548965,-186.35817648122543,0.00031353656509599273,,
-336.4993496662843,0.0015142906702007653,-181.93098197548352,0.00033368961563626134,,
-331.4312664478731,0.001591485481665426,-177.50378746974158,0.0003553766850026627,,
-326.3631832294619,0.0016708862872492109,-173.07659296399967,0.00038013204037638164,,
-321.29510001105075,0.0017508272281999524,-168.64939845825776,0.00040777537802056426,,
-316.2270167926396,0.0018294154862509829,-164.22220395251586,0.0004361624980268719,,
-311.15893357422846,0.0019048918542925392,-159.79500944677395,0.00046176008966358154,,
-306.0908503558173,0.0019759444815585694,-155.367814941032,0.00048087624120011,,
-301.0227671374061,0.0020419046149248816,-150.9406204352901,0.0004910798665375002,,
-295.95468391899493,0.002102783184727523,-146.5134259295482,0.0004922612126961205,,
-290.88660070058376,0.002159148578901885,-142.08623142380628,0.00048694965407281406,,
-285.8185174821726,0.0022118895945093205,-137.65903691806437,0.0004798053681025223,,
-280.7504342637614,0.0022619358043170228,-133.23184241232244,0.0004764903001986011,,
-275.68235104535023,0.002310009670338757,-128.80464790658053,0.0004823021699298196,,
-270.6142678269391,0.0023564702504808503,-124.37745340083862,0.0005009834287240111,,
-265.54618460852794,0.0024012973077525345,-119.9502588950967,0.0005339939333222355,,
-260.47810139011676,0.002444258110933296,-115.52306438935479,0.0005803148707263831,,
-255.4100181717056,0.002485266471040443,-111.09586988361288,0.0006366584512973744,,
-250.3419349532944,0.002524854262916405,-106.66867537787095,0.0006979270542067035,,
-245.27385173488324,0.0025645534779829087,-102.24148087212905,0.0007579049779826275,,
-240.2057685164721,0.002606921699823296,-97.81428636638712,0.0008103051585258461,,
-235.13768529806092,0.002655030506511653,-93.38709186064521,0.0008502180694333758,,
-230.06960207964974,0.002711482013538699,-88.9598973549033,0.0008756866571390695,,
-225.00151886123857,0.0027773054646243146,-84.53270284916138,0.0008887887393493916,,
-219.93343564282742,0.0028512316183412407,-80.10550834341947,0.0008955705242846067,,
-214.86535242441624,0.0029297267670719226,-75.67831383767755,0.0009045805396623038,,
-209.79726920600507,0.003007827291004851,-71.25111933193564,0.0009244164996307561,,
-204.7291859875939,0.0030804360181424977,-66.82392482619373,0.000961226363888295,,
-199.66110276918275,0.0031435419709513034,-62.39673032045181,0.0010171720167128748,,
-194.59301955077157,0.003194909551677761,-57.9695358147099,0.001090423517269323,,
-189.5249363323604,0.0032340769671711377,-53.542341308967984,0.0011765566005296929,,
-184.45685311394922,0.0032618202789043986,-49.11514680322607,0.0012706534830719963,,
