fpr_train,tpr_train,fpr_valid,tpr_valid,fpr_test,tpr_test
1.0,1.0,1.0,1.0,1.0,1.0
0.9437845743739753,1.0,0.9437731108791423,0.9996460803397629,0.9437858829982042,0.9994691205096443
0.8907302343685496,1.0,0.890730878788415,0.9989382410192886,0.8907343353296592,0.9992036807644664
0.840660053549734,1.0,0.8406609932591427,0.9982304016988144,0.8406640068647658,0.9984958414439922
0.7934089005791392,1.0,0.7934042214398188,0.9976995222084587,0.7934068169956033,0.9977437621659884
0.748805746570576,1.0,0.748801330478937,0.9966377632277473,0.7488079546359285,0.9970359228455141
0.706714947924653,1.0,0.706710780064047,0.995576004247036,0.7067170318733911,0.996549283312688
0.6669890659463795,1.0,0.6669910298826984,0.9945142452663246,0.6669880839695331,0.9956644841620952
0.6294983545841639,1.0,0.629482847083385,0.9936294461157317,0.6294972620553605,0.9951778446292692
0.5941130677864144,1.0,0.594097768970825,0.9925676871350203,0.5941118709140931,0.994337285436206
0.5607152545971386,1.0,0.5607119477716247,0.9920368076446646,0.5607169080245221,0.9936736860732613
0.5291928616081434,1.0,0.5291838431733338,0.9916828879844275,0.5291973708654382,0.9928773668377279
0.49944563050683527,1.0,0.49944268501972716,0.9913289683241904,0.4994471032634177,0.9921695275172536
0.47137330298062063,1.0,0.4713646255374109,0.9900902495133604,0.4713732185667147,0.9914616881967794
0.4448756207169059,1.0,0.44486120203110346,0.9895593700230048,0.4448739837757982,0.9906653689612458
0.41987001804649626,1.0,0.4198616443445799,0.9890284905326491,0.41986978176060014,0.9894708901079455
0.39626803175239733,1.0,0.3962597972435024,0.9876128118917006,0.3962677258693748,0.9884091311272342
0.37399299371321404,1.0,0.3739848905716459,0.9870819324013449,0.37399262214594703,0.9876128118917006
0.3529682358075512,1.0,0.3529661541727853,0.9863740930808707,0.35296927663414157,0.9864183330384003
0.333128885009613,1.0,0.33311512535163923,0.9854892939302778,0.3331269185516759,0.9852680941426296
0.3143982731980043,1.0,0.314396419030095,0.9847814546098036,0.3143992002901602,0.98398513537427
0.29672921999032803,1.0,0.29672157251287135,0.983011856308618,0.29672862058898986,0.9826136966908512
0.28004505726518913,1.0,0.2800375081827993,0.981773137497788,0.28004883183977497,0.9812864979649619
0.26430450218799023,1.0,0.2642911484227101,0.9814192178375509,0.26430675595580366,0.9800035391966023
0.24944857928073508,1.0,0.24944710815449125,0.9796496195363652,0.24944931485036403,0.9782339408954167
0.23542421061322702,1.0,0.23541692468286124,0.9773491417448239,0.23542785361063684,0.9765528225092904
0.22219011335086872,1.0,0.22218290546876382,0.9759334631038754,0.22219371732380286,0.9752256237834012
0.20969910711126313,1.0,0.20969197289503017,0.9741638648026898,0.2097026742509355,0.9735445053972748
0.19791580660761254,1.0,0.1979087418835477,0.9716864271810299,0.19791491582700083,0.9719961068837374
0.18678713390972035,1.0,0.18678013481714761,0.9692089895593701,0.1867906334869649,0.9699610688373739
0.17628949882638797,1.0,0.17628845915677357,0.9674393912581843,0.17629001866579383,0.9679260307910105
0.16638161852301814,1.0,0.16638063728525682,0.966377632277473,0.1663776859723463,0.9654928331268802
0.157028107712813,1.0,0.1570212841244847,0.9628384356751017,0.15702709636326642,0.9628384356751017
0.14819947865677452,1.0,0.148192707135401,0.9598301185630862,0.14819844127352022,0.9597416386480269
0.1398662436159045,1.0,0.13985952123989315,0.9577066006016635,0.13986960483364444,0.956777561493541
0.1320048123990045,1.0,0.13200403389890483,0.9546982834896478,0.13200520165249777,0.9535922845514069
0.12458569726707636,1.0,0.12457316749526724,0.9506282073969209,0.1245875390345096,0.9506724473544506
0.11757941048112194,1.0,0.11758461456803666,0.9474429304547868,0.11758123158853867,0.9478853300300831
0.11096825939774242,1.0,0.11096760496098795,0.9444346133427712,0.110973009792907,0.944213413555123
0.10473455137353889,1.0,0.10472213867412113,0.9408954167403999,0.10473633460425863,0.9397894178021589
0.09884879866951321,1.0,0.09884821570743617,0.936825340647673,0.09884909015313029,0.9358078216244913
0.09328741109446692,1.0,0.09329275844376426,0.9334631038754203,0.09328916057005865,0.9321801451070607
0.08804449110060036,1.0,0.08803807434404912,0.929923907273049,0.08804769950725842,0.9293487878251637
0.08309644849671506,1.0,0.08308416340829072,0.927092549991152,0.08309816792137366,0.9257211113077332
0.07842559063941214,1.0,0.07841333309743281,0.9237303132188993,0.07842729629072637,0.9205892762342948
0.07401422488529269,1.0,0.0740078908724191,0.9193063174659353,0.07401739191974593,0.9171385595469829
0.06985645368655713,1.0,0.0698501441941933,0.9164749601840382,0.06985518528675436,0.914041762519908
0.06592868685200694,0.999882026779921,0.06592240052369916,0.9131127234117855,0.06593183004396636,0.9116528048133073
0.06222502683384249,0.9998230401698814,0.06222465986093664,0.9108122456202442,0.0622252103219186,0.9078039285082287
0.058727780988664914,0.9997640535598419,0.05872153712779321,0.9083348079985843,0.05872647977282579,0.9040435321182092
0.05542515422087496,0.9996460803397629,0.055413032324268856,0.9051495310564502,0.05542236887500995,0.9005043355158379
0.05230535143487338,0.9995870937297233,0.052299145450363585,0.8987789771721819,0.05230845445457843,0.8969651389134666
0.04936837263066017,0.9994691205096443,0.049362183967021106,0.8950628207396921,0.04936704381596058,0.8939125818439214
0.046590627617036834,0.9992921606795258,0.046584455335185154,0.8924084232879137,0.04659371378526375,0.8907273049017873
0.04397211639400337,0.9992331740694862,0.043965959554855716,0.8895770660060166,0.04397519484080997,0.8876305078747124
0.041501043865960534,0.9991152008494072,0.04148900408697652,0.8870996283843567,0.04150264063481392,0.8843125110599894
