xneg_TopPushK,yneg_TopPushK,xpos_TopPushK,ypos_TopPushK,xquant_TopPushK,yquant_TopPushK
-45.39155596701524,0.0008966909427969721,-20.673288338376143,0.0003538655590588846,19.675023174285887,7.724080567777673e-5
-44.94388187098868,0.0012104634970157451,-20.31528820511406,0.00038471131772764317,19.675023174285887,0.05451411346305247
-44.49620777496213,0.0015984823254424413,-19.957288071851984,0.0004128170704917486,,
-44.04853367893557,0.0020660670515363342,-19.599287938589907,0.0004392452752699624,,
-43.60085958290902,0.0026155155085970604,-19.241287805327826,0.0004651297994699152,,
-43.15318548688246,0.003245945209989599,-18.883287672065748,0.0004913506744986758,,
-42.705511390855904,0.003953803878861008,-18.52528753880367,0.000518332334127697,,
-42.25783729482934,0.004734017762441005,-18.16728740554159,0.0005459988409788131,,
-41.81016319880279,0.0055814898108219515,-17.809287272279512,0.0005738652458066555,,
-41.36248910277623,0.006492437640270905,-17.451287139017435,0.0006012099722962517,,
-40.91481500674968,0.007464991014878506,-17.093287005755354,0.0006272631961432993,,
-40.46714091072312,0.008498631996742256,-16.735286872493276,0.000651353479920036,,
-40.019466814696564,0.009592447826752937,-16.3772867392312,0.0006729714501178075,,
-39.571792718670004,0.010742654012850732,-16.019286605969118,0.0006917333014679938,,
-39.12411862264345,0.011940233100403335,-15.66128647270704,0.0007072605347359784,,
-38.67644452661689,0.013169632346426352,-15.303286339444961,0.0007190325780688967,,
-38.22877043059034,0.014409186591754847,-14.945286206182882,0.0007263010645918478,,
-37.78109633456378,0.0156333593266564,-14.587286072920804,0.0007281559868725252,,
-37.333422238537224,0.01681624560402076,-14.229285939658725,0.0007237887287116184,,
-36.885748142510664,0.017935323400525772,-13.871285806396646,0.0007129112424008111,,
-36.43807404648411,0.018974368652711123,-13.513285673134568,0.0006961973083066408,,
-35.99039995045756,0.01992479163754749,-13.155285539872489,0.0006755579736667505,,
-35.542725854431,0.020785258557731723,-12.79728540661041,0.0006540855909294785,,
-35.095051758404445,0.02156007292824448,-12.439285273348332,0.0006356031811236263,,
-34.647377662377885,0.022257154257380094,-12.081285140086253,0.0006239030289468251,,
-34.19970356635133,0.02288642976409621,-11.723285006824174,0.0006218913963800687,,
-33.75202947032477,0.02345908236819638,-11.365284873562096,0.0006309196559256536,,
-33.30435537429822,0.02398756033991018,-11.007284740300017,0.0006505489514529573,,
-32.85668127827166,0.024485804166140348,-10.649284607037938,0.0006788757367610609,,
-32.409007182245105,0.024968992859761698,-10.29128447377586,0.0007133775178412961,,
-31.961333086218545,0.025452324618642778,-9.933284340513781,0.0007520709188889912,,
-31.51365899019199,0.025948823950474022,-9.575284207251702,0.0007946531044034245,,
-31.06598489416543,0.02646668487271947,-9.217284073989624,0.0008432574950027005,,
-30.618310798138875,0.02700697870580088,-8.859283940727545,0.0009025172607764276,,
-30.17063670211232,0.02756253617793507,-8.501283807465466,0.0009787974630187457,,
-29.722962606085762,0.028118478287946554,-8.143283674203389,0.0010787008338132042,,
-29.275288510059205,0.028654376149964883,-7.785283540941309,0.0012072079137703984,,
-28.82761441403265,0.029147570022041717,-7.427283407679231,0.0013659879616694881,,
-28.379940318006092,0.02957691935507702,-7.069283274417152,0.0015524274498925129,,
-27.932266221979535,0.029926226138469528,-6.711283141155073,0.0017597334373141526,,
-27.48459212595298,0.030186714666404706,-6.353283007892995,0.001978126589152347,,
-27.036918029926426,0.030358169533133222,-5.995282874630916,0.002196765667021423,,
-26.58924393389987,0.030448563919617963,-5.637282741368837,0.0024057922376891083,,
-26.141569837873313,0.030472234054863476,-5.279282608106759,0.0025978596279126486,,
-25.693895741846756,0.03044688209501817,-4.92128247484468,0.002768726002555013,,
-25.2462216458202,0.030389915274451687,-4.563282341582601,0.002916855711703872,,
-24.798547549793643,0.03031481429707056,-4.205282208320522,0.00304233326715091,,
-24.350873453767086,0.03022830065411218,-3.8472820750584438,0.0031456097997483146,,
-23.90319935774053,0.030128979159445433,-3.4892819417963654,0.0032266048434946427,,
-23.455525261713973,0.03000785118164968,-3.1312818085342866,0.0032845019851826663,,
-23.007851165687416,0.02985067307915271,-2.773281675272208,0.003318298388182939,,
-22.56017706966086,0.02964167704495056,-2.415281542010129,0.0033279064952344674,,
-22.112502973634303,0.02936780657670637,-2.0572814087480507,0.0033154441126443147,,
-21.664828877607746,0.02902245750272904,-1.6992812754859719,0.0032863174758344196,,
-21.21715478158119,0.02860781502953087,-1.3412811422238933,0.0032497815222690954,,
-20.769480685554633,0.028135219912780975,-0.9832810089618146,0.003218801708881456,,
-20.321806589528077,0.02762349165019372,-0.6252808756997359,0.003209185515592994,,
-19.87413249350152,0.027095643410345715,-0.2672807424376572,0.0032380604272676285,,
-19.426458397474963,0.02657479468676091,0.09071939082442144,0.0033218428011462732,,
-18.978784301448407,0.026080217774479466,0.4487195240865001,0.0034738940655177773,,
-18.53111020542185,0.02562431991235609,0.8067196573485788,0.0037021325786960268,,
-18.083436109395294,0.02521103584310179,1.1647197906106574,0.004006973676593,,
-17.635762013368737,0.0248357233013933,1.522719923872736,0.00438007191829942,,
-17.18808791734218,0.0244863573142623,1.8807200571348148,0.004804360325743487,,
-16.740413821315624,0.02414568382646534,2.2387201903968936,0.0052557399096244415,,
-16.292739725289067,0.02379399597812677,2.596720323658972,0.005706439883190111,,
-15.84506562926251,0.02341224089873829,2.954720456921051,0.006129607357069418,,
-15.397391533235954,0.02298515329646314,3.3127205901831296,0.006504243270135302,,
-14.949717437209397,0.022504018193045587,3.670720723445208,0.006819357224188641,,
