recall_TopPush,precision_TopPush,recall_TopPushK,precision_TopPushK,recall_PatMatNP,precision_PatMatNP
0.065,0.8125,0.067,0.9710144927536232,0.067,0.8933333333333333
0.065,0.8125,0.065,0.9701492537313433,0.065,0.8904109589041096
0.063,0.8076923076923077,0.065,0.9701492537313433,0.065,0.8904109589041096
0.062,0.8378378378378378,0.063,0.9692307692307692,0.063,0.8873239436619719
0.061,0.8356164383561644,0.062,0.96875,0.062,0.8857142857142857
0.06,0.8450704225352113,0.061,0.9682539682539683,0.062,0.8857142857142857
0.059,0.8428571428571429,0.06,0.967741935483871,0.06,0.8823529411764706
0.058,0.8405797101449275,0.059,0.9672131147540983,0.059,0.8805970149253731
0.057,0.8382352941176471,0.058,0.9830508474576272,0.058,0.8787878787878788
0.056,0.835820895522388,0.057,0.9827586206896551,0.057,0.8769230769230769
0.055,0.8333333333333334,0.056,0.9824561403508771,0.056,0.875
0.054,0.8307692307692308,0.055,0.9821428571428571,0.055,0.873015873015873
0.053,0.828125,0.054,0.9818181818181818,0.054,0.8709677419354839
0.052,0.8253968253968254,0.053,0.9814814814814815,0.053,0.8688524590163934
0.051,0.8225806451612904,0.052,0.9811320754716981,0.052,0.8666666666666667
0.05,0.819672131147541,0.051,0.9807692307692307,0.052,0.8666666666666667
0.049,0.8166666666666667,0.05,0.9803921568627451,0.05,0.8620689655172413
0.048,0.8135593220338984,0.049,0.98,0.049,0.875
0.047,0.8103448275862069,0.048,0.9795918367346939,0.048,0.8888888888888888
0.046,0.8070175438596491,0.047,0.9791666666666666,0.047,0.9215686274509803
0.046,0.8070175438596491,0.046,0.9787234042553191,0.046,0.92
0.044,0.8,0.045,0.9782608695652174,0.045,0.9183673469387755
0.043,0.7962962962962963,0.044,1.0,0.044,0.9166666666666666
0.042,0.7924528301886793,0.043,1.0,0.043,0.9148936170212766
0.041,0.7884615384615384,0.042,1.0,0.042,0.9130434782608695
0.04,0.7843137254901961,0.041,1.0,0.041,0.9111111111111111
0.039,0.78,0.04,1.0,0.04,0.9090909090909091
