fpr_Grill1.csv,tpr_Grill1.csv,fpr_Grill5.csv,tpr_Grill5.csv,fpr_GrillNP1.csv,tpr_GrillNP1.csv,fpr_GrillNP5.csv,tpr_GrillNP5.csv,fpr_PatMat1.csv,tpr_PatMat1.csv,fpr_PatMat5.csv,tpr_PatMat5.csv,fpr_PatMatNP1.csv,tpr_PatMatNP1.csv,fpr_PatMatNP5.csv,tpr_PatMatNP5.csv,fpr_TopMean1.csv,tpr_TopMean1.csv,fpr_TopMean5.csv,tpr_TopMean5.csv,fpr_TopPush.csv,tpr_TopPush.csv,fpr_TopPushK.csv,tpr_TopPushK.csv,fpr_tauFPL1.csv,tpr_tauFPL1.csv,fpr_tauFPL5.csv,tpr_tauFPL5.csv
0.0007270006368680941,0.08908140369130682,0.0007259725090032587,0.09020142975969633,0.0007261438636473978,0.08564529268341484,0.0007264294547209631,0.08375567744941388,0.0007276860554446509,0.07229850592684273,0.0007276860554446509,0.08903098193792179,0.0007276860554446509,0.12110098928394822,0.0007276860554446509,0.10817306895260528,0.0007188898503788365,0.023224419678204024,0.0007276860554446509,0.06713976601333718,0.0007276860554446509,0.08727153714888423,0.0007276860554446509,0.11291820185279935,0.0007276860554446509,0.09458406341021414,0.0007276860554446509,0.12549231239763442
0.0007048387695594186,0.08806204962712486,0.0007043818238417139,0.08900519938602083,0.0007036392870504438,0.08450508648016716,0.0007039248781240094,0.08260621010778937,0.0007054099517065493,0.07066751655714322,0.0007054099517065493,0.08741542779885035,0.0007054099517065493,0.11892370708505669,0.0007054099517065493,0.10629099983135579,0.0006968422194995872,0.02283573770398086,0.0007054099517065493,0.066143679130139,0.0007054099517065493,0.08588596794617107,0.0007054099517065493,0.11082112568565297,0.0007054099517065493,0.09298943258377183,0.0007054099517065493,0.12349716592015411
0.0006829624933243088,0.08689211631303792,0.0006830767297537348,0.0877230462285157,0.0006815916561711948,0.08318931882040537,0.0006823913111771778,0.0814812676326072,0.0006837050301155788,0.0691583511743638,0.0006837050301155788,0.08566627316356484,0.0006837050301155788,0.11683892193489191,0.0006837050301155788,0.10424623194578234,0.0006754800071968952,0.02243390719996341,0.0006837050301155788,0.06520630329084834,0.0006837050301155788,0.08451743466466961,0.0006837050301155788,0.10876932619501556,0.0006837050301155788,0.09146203076184296,0.0006837050301155788,0.12146920528570897
0.0006622856995981734,0.08564780805433202,0.000661428926377477,0.08651761188398424,0.0006611433353039118,0.08194724009501243,0.0006616573992363295,0.08039114017761947,0.0006625712906717389,0.06744612675754397,0.0006625712906717389,0.08390780022238167,0.0006625712906717389,0.11464123093105882,0.0006625712906717389,0.10219774817135392,0.0006546889770413337,0.022050141632532893,0.0006625712906717389,0.0642723003352875,0.0006625712906717389,0.08330445420738661,0.0006625712906717389,0.1067527418972185,0.0006625712906717389,0.08984493309970874,0.0006625712906717389,0.1194543931810581
0.0006418373787308903,0.08456225400101189,0.0006413804330131857,0.08534161881268777,0.0006410948419396204,0.08087031833733983,0.0006417231423014642,0.07924647490774592,0.0006425799155221605,0.06590580507590418,0.0006425799155221605,0.0823076813139383,0.0006425799155221605,0.11281490014263298,0.0006425799155221605,0.10028303639570216,0.0006348118383211815,0.021688156890544204,0.0006425799155221605,0.06333829737972668,0.0006425799155221605,0.0819545003701597,0.0006425799155221605,0.10494870644192208,0.0006425799155221605,0.08820165271302763,0.0006425799155221605,0.11740922512283872
0.0006229312496608606,0.08341175764401212,0.0006219031217960252,0.08425000500215807,0.0006216175307224599,0.07987080140289096,0.0006219602400107382,0.07825553310142376,0.000623159722519713,0.06438606370176847,0.000623159722519713,0.08081086411566132,0.000623159722519713,0.11086754571257884,0.000623159722519713,0.09850066743080585,0.0006156201181775863,0.021344808760350893,0.000623159722519713,0.062392346412309306,0.000623159722519713,0.08073260177962492,0.000623159722519713,0.10306017739081719,0.000623159722519713,0.0867803538097865,0.000623159722519713,0.11521410665744365
0.0006032825837995607,0.0821434961940723,0.0006029969927259954,0.08305594699427467,0.0006023686923641514,0.07881137290659686,0.0006020831012905862,0.07713424934757566,0.0006037395295172655,0.06283276499289694,0.0006037395295172655,0.07933679959068055,0.0006037395295172655,0.10879750978279201,0.0006037395295172655,0.09651563960451509,0.0005965426344634173,0.02097493490048564,0.0006037395295172655,0.06150419180846595,0.0006037395295172655,0.07947428747831208,0.0006037395295172655,0.10136350253966711,0.0006037395295172655,0.08534287649814636,0.0006037395295172655,0.11310119508702325
0.0005847762822325226,0.08097259103213099,0.0005847762822325225,0.08203407755917554,0.0005840908636559655,0.07777189587507753,0.0005844335729442441,0.07618778387247069,0.0005854617008090796,0.06143153188947231,0.0005854617008090796,0.07788503039882921,0.0005854617008090796,0.10678184016532848,0.0005854617008090796,0.09461224699799056,0.0005783790421846575,0.020595514064639314,0.0005854617008090796,0.0605604703743615,0.0005854617008090796,0.07832607782214614,0.0005854617008090796,0.09950195655840091,0.0005854617008090796,0.08394381576051382,0.0005854617008090796,0.11105688454161652
0.0005670125174567544,0.07979659796083452,0.000567355226745033,0.08100706304720037,0.0005659843895919189,0.07674773973914459,0.0005668982810273282,0.07525601045022282,0.0005677550542480243,0.060075918467681774,0.0005677550542480243,0.07643543357276997,0.0005677550542480243,0.10476153997867652,0.0005677550542480243,0.09293901083038683,0.0005609008684824546,0.02020111533833168,0.0005677550542480243,0.059710618009484094,0.0005677550542480243,0.07709417491546353,0.0005677550542480243,0.09768037067420518,0.0005677550542480243,0.08262873411100218,0.0005677550542480243,0.10894208644300826
0.0005489631616074208,0.07882635079705815,0.0005494772255398386,0.07985799587822175,0.0005488489251779947,0.07573964767656903,0.0005487346887485685,0.0741987543197208,0.0005500484076869693,0.058602825790555355,0.0005500484076869693,0.07499549805773348,0.0005500484076869693,0.10298242956246839,0.0005500484076869693,0.09106751770049365,0.0005434226947802519,0.019880577048955406,0.0005500484076869693,0.05880285494599098,0.0005500484076869693,0.07580539032554043,0.0005500484076869693,0.09601450911679038,0.0005500484076869693,0.0812124659495954,0.0005500484076869693,0.10709357465649468
