angle,angle_buffer,angle_buffer_deg,angle_deg,epoch,loss,norm_a,norm_b,t_est_1,t_est_2,t_est_buffer,t_true,lb,ub
1.30271101,1.588155866,90.99462831,74.6398428,0.727272727,198.0846558,1296.272461,1109.601196,10.6456995,2.402682304,10.6456995,13.17543697,0,90
1.580343962,1.591796756,91.20323595,90.54703919,0.734265734,198.1985168,1290.301636,1121.685913,10.63498783,0.440314025,10.63498783,13.18026733,0,90
1.604269743,1.589547753,91.0743776,91.91788547,0.741258741,198.3135681,1292.63147,1125.038452,10.62427807,2.09974575,10.62427807,13.1851368,0,90
1.579015732,1.583251476,90.7136275,90.47093722,0.748251748,198.4277802,1293.881348,1124.762695,10.61358929,1.883222699,10.61358929,13.189991,0,90
1.626385212,1.592072248,91.21902052,93.18500851,0.755244755,198.5387115,1297.12207,1126.477295,10.60289383,2.292424679,10.60289383,13.19472122,0,90
1.622479916,1.59486866,91.37924309,92.96125151,0.762237762,198.6516113,1293.90271,1131.937622,10.59219551,2.552526951,10.59219551,13.19952869,0,90
1.596108794,1.583136559,90.7070432,91.45029755,0.769230769,198.7684021,1285.647095,1125.763306,10.58156109,2.20138073,10.58156109,13.20450306,0,90
1.568411946,1.581762791,90.6283321,89.86338506,0.776223776,198.8802032,1288.96106,1124.854248,10.57097149,1.366924524,10.57097149,13.20929813,0,90
1.634724855,1.594229221,91.34260596,93.66283488,0.783216783,198.9886627,1301.375,1127.766846,10.5604372,2.167504787,10.5604372,13.21399021,0,90
1.489524126,1.582717419,90.68302825,85.34344591,0.79020979,199.1005249,1278.638916,1121.919434,10.54991436,1.648009181,10.54991436,13.21880817,0,90
1.59318161,1.585463405,90.84036166,91.28258226,0.797202797,199.2082672,1294.783813,1143.480835,10.53946018,4.684088707,10.53946018,13.22349072,0,90
1.637660503,1.594976902,91.38544491,93.83103512,0.804195804,199.3143616,1299.8479,1129.396606,10.52902222,2.497764111,10.52902222,13.22809601,0,90
1.61228931,1.593433142,91.29699396,92.37737279,0.811188811,199.4250031,1295.84436,1132.459229,10.51863194,2.892074108,10.51863194,13.23286629,0,90
1.633705616,1.599195719,91.6271653,93.60443676,0.818181818,199.5388336,1293.315796,1135.389771,10.50826931,3.599043131,10.50826931,13.2377615,0,90
1.558119059,1.58057034,90.56000971,89.27364604,0.825174825,199.6564026,1290.636841,1125.898438,10.49797535,1.509765744,10.49797535,13.24278069,0,90
1.517697692,1.586493254,90.89936766,86.95767232,0.832167832,199.7700348,1294.240234,1124.72644,10.48772049,1.588525891,10.48772049,13.24765778,0,90
1.582630515,1.582266569,90.65719648,90.67804904,0.839160839,199.8824921,1296.848389,1224.616455,10.47752285,6.330177307,10.47752285,13.25248623,0,90
1.551215649,1.583232045,90.71251418,88.87810978,0.846153846,199.9917297,1311.144897,1126.661011,10.46736145,1.277937889,10.46736145,13.25720978,0,90
1.581245542,1.586333632,90.89022204,90.59869591,0.853146853,200.0986938,1302.805542,1132.592407,10.45718479,2.695773602,10.45718479,13.26184177,0,90
1.616193056,1.604967713,91.95787623,92.60104099,0.86013986,200.2044983,1300.952881,1138.904907,10.44704056,2.050297737,10.44704056,13.26642418,0,90
1.584622145,1.585592628,90.84776558,90.79216101,0.867132867,200.319397,1290.856323,1132.415894,10.43696117,2.32042098,10.43696117,13.27132607,0,90
1.589936614,1.595142126,91.39491155,91.09665768,0.874125874,200.4312286,1294.073242,1239.582275,10.42695332,7.115418911,10.42695332,13.2761364,0,90
1.584920406,1.586724043,90.91259091,90.80925015,0.881118881,200.5445099,1290.098633,1277.846313,10.41699123,7.276558399,10.41699123,13.28097534,0,90
1.61636436,1.60125041,91.74489044,92.61085598,0.888111888,200.655304,1291.10791,1140.960693,10.40709496,3.275472164,10.40709496,13.28571987,0,90
1.566629529,1.578425407,90.43711412,89.76126007,0.895104895,200.7711639,1296.729492,1131.09436,10.39728355,1.723343849,10.39728355,13.29065609,0,90
1.586569548,1.58400178,90.75661671,90.90373898,0.902097902,200.8810883,1290.509766,1133.924194,10.38749599,3.602679968,10.38749599,13.29536819,0,90
1.619803309,1.593399286,91.29505418,92.80789327,0.909090909,200.9882202,1288.231445,1145.850464,10.37776089,4.384531021,10.37776089,13.2999897,0,90
1.59275949,1.584108949,90.76275705,91.25839656,0.916083916,201.0965118,1289.700684,1141.380127,10.36808872,3.252451181,10.36808872,13.30462646,0,90
1.584746003,1.581419826,90.60868164,90.79925758,0.923076923,201.2018433,1278.930786,1136.417725,10.35846233,2.829069138,10.35846233,13.30916309,0,90
1.567765951,1.589564681,91.07534749,89.82637227,0.93006993,201.3023682,1298.055786,1131.707275,10.34891319,2.329956293,10.34891319,13.3135376,0,90
1.599213362,1.581895471,90.6359341,91.62817617,0.937062937,201.4045105,1291.079956,1138.068848,10.33938789,2.548302174,10.33938789,13.31798077,0,90
1.595397115,1.580234289,90.54075541,91.40952132,0.944055944,201.504303,1294.598267,1135.717285,10.32988644,2.834189415,10.32988644,13.32233524,0,90
1.59412241,1.600184917,91.68384221,91.33648611,0.951048951,201.6007233,1291.725464,1275.91687,10.32041645,7.225156307,10.32041645,13.32654476,0,90
1.586379766,1.588075757,90.99003842,90.89286532,0.958041958,201.7026062,1268.142944,1250.373413,10.31100273,7.220142841,10.31100273,13.33093071,0,90
1.574678659,1.593144894,91.28047856,90.22244128,0.965034965,201.8034668,1295.548218,1136.733032,10.30166817,2.101233006,10.30166817,13.33527088,0,90
1.607121468,1.588232517,90.99902012,92.08127726,0.972027972,201.9065247,1292.531128,1133.159058,10.29236698,1.377376556,10.29236698,13.33968544,0,90
1.611775398,1.583323479,90.71775293,92.34792784,0.979020979,202.0090637,1297.348267,1133.918213,10.28308582,1.347249031,10.28308582,13.34407139,0,90
1.456821442,1.590107322,91.10643851,83.46972011,0.986013986,202.1092987,1297.925415,1131.073975,10.27381992,0.318498015,10.27381992,13.34837151,0,90
1.61804831,1.596190214,91.45496257,92.70733923,0.993006993,202.2125549,1290.056885,1137.182373,10.26457405,2.269144535,10.26457405,13.35278606,0,90
1.582152605,1.581923962,90.63756651,90.65066682,1,202.3187561,1287.674927,1221.37207,10.25537682,6.223952293,10.25537682,13.35732269,0,90
1.5592767,1.579406023,90.49329926,89.339974,1.006993007,202.4211426,1288.914063,1136.619629,10.24619961,3.408234358,10.24619961,13.36171627,0,90
1.610511422,1.590298414,91.1173873,92.27550735,1.013986014,202.5189056,1294.44873,1137.105957,10.23705578,1.678001642,10.23705578,13.36594486,0,90
1.604890823,1.582404137,90.66507851,91.95347076,1.020979021,202.6186981,1293.366333,1137.598755,10.22794247,0.489958465,10.22794247,13.37024975,0,90
1.601188421,1.590746045,91.14303466,91.74133874,1.027972028,202.7160645,1291.696533,1137.067383,10.21885204,0.915031493,10.21885204,13.37446594,0,90
1.579921007,1.576828003,90.34558959,90.52280567,1.034965035,202.8158112,1301.022339,1153.128784,10.20979977,4.033967495,10.20979977,13.37876034,0,90
1.611050606,1.59173286,91.19957497,92.30640029,1.041958042,202.9092712,1294.824463,1137.563354,10.20073986,1.649358749,10.20073986,13.38284969,0,90
1.603163123,1.586755276,90.91438042,91.85448083,1.048951049,203.0058441,1293.009277,1139.859375,10.19172764,1.854717731,10.19172764,13.38704586,0,90
1.625133157,1.597237825,91.51498627,93.11327103,1.055944056,203.1020355,1299.202393,1136.94751,10.18275833,0.880254269,10.18275833,13.39122868,0,90
1.594478011,1.579154134,90.47886707,91.35686056,1.062937063,203.203598,1286.511841,1141.977539,10.17380619,3.520440102,10.17380619,13.39557266,0,90
1.652700424,1.603937864,91.89887023,94.69275911,1.06993007,203.300705,1308.822998,1140.216187,10.16488743,1.942960858,10.16488743,13.39974213,0,90
1.582632661,1.590577483,91.13337677,90.67817199,1.076923077,203.4066162,1286.070679,1138.176392,10.15598011,2.391980171,10.15598011,13.40423584,0,90
1.662989736,1.600516081,91.70281648,95.28229322,1.083916084,203.5127869,1297.829468,1138.293335,10.14711761,0.954947054,10.14711761,13.40872192,0,90
1.618113399,1.595830917,91.43437638,92.71106851,1.090909091,203.6237793,1292.747559,1145.208008,10.1383028,3.548099756,10.1383028,13.41337872,0,90
1.599689007,1.579851627,90.5188305,91.65542862,1.097902098,203.7371368,1289.834717,1139.188843,10.12950802,1.202150702,10.12950802,13.41812515,0,90
1.555611968,1.577644944,90.39239687,89.13000033,1.104895105,203.8442383,1293.892212,1140.534424,10.12073421,3.378931284,10.12073421,13.42262173,0,90
1.639921665,1.585145116,90.82212505,93.96059015,1.111888112,203.9444275,1296.092407,1140.70813,10.11198139,1.450900197,10.11198139,13.42687607,0,90
1.600547791,1.600005269,91.67354912,91.70463331,1.118881119,204.0429688,1292.779175,1196.286255,10.10323906,7.897328377,10.10323906,13.43106651,0,90
1.582903981,1.584123611,90.76359716,90.6937175,1.125874126,204.1462555,1281.722168,1269.328857,10.09451866,7.103797436,10.09451866,13.43543434,0,90
1.526964426,1.587562084,90.96060714,87.48861708,1.132867133,204.2471619,1292.587158,1137.633545,10.08583355,1.586461425,10.08583355,13.43970394,0,90
1.576410294,1.579073191,90.47422937,90.3216566,1.13986014,204.3471985,1293.837524,1161.028564,10.07716465,3.784053564,10.07716465,13.44393253,0,90
1.612260938,1.588211775,90.99783167,92.3757472,1.146853147,204.4417267,1299.725098,1143.473145,10.0684948,1.676870704,10.0684948,13.44795799,0,90
1.64521122,1.58698082,90.92730314,94.2636593,1.153846154,204.5359955,1293.023804,1141.322754,10.05981445,1.523202896,10.05981445,13.45201302,0,90
1.586286306,1.579868913,90.51982088,90.88751046,1.160839161,204.6294708,1302.088745,1143.650391,10.05115032,2.310376644,10.05115032,13.45603085,0,90
1.599733233,1.586387038,90.89328196,91.65796262,1.167832168,204.7201843,1291.802979,1149.318115,10.042449,3.085379601,10.042449,13.4599514,0,90
1.532931566,1.591754556,91.20081806,87.83050903,1.174825175,204.8111115,1299.430176,1139.411865,10.0338192,0.822146356,10.0338192,13.46390057,0,90
1.587842107,1.579597116,90.50424805,90.97665125,1.181818182,204.9042969,1300.627197,1153.204712,10.02519131,3.092140913,10.02519131,13.46792221,0,90
1.580166459,1.58400476,90.75678746,90.53686903,1.188811189,204.9937592,1306.362793,1263.520508,10.01655483,7.075010777,10.01655483,13.471838,0,90
1.615236282,1.593618393,91.30760807,92.54622189,1.195804196,205.0826263,1299.109009,1145.013062,10.00790119,2.463181973,10.00790119,13.47571945,0,90
1.592834234,1.58221817,90.65442342,91.26267909,1.202797203,205.1748657,1283.283691,1142.136597,9.999278069,1.792997599,9.999278069,13.47973442,0,90
1.664815664,1.584633827,90.79283037,95.38691123,1.20979021,205.2644043,1292.53125,1143.452637,9.990694046,0.925965428,9.990694046,13.4836607,0,90
1.584726214,1.582612276,90.67700402,90.79812377,1.216783217,205.3523102,1292.01123,1146.428589,9.982147217,1.328207493,9.982147217,13.4875164,0,90
1.611322761,1.596307516,91.46168348,92.32199361,1.223776224,205.4388275,1290.189087,1159.730957,9.973639488,4.497525692,9.973639488,13.49131012,0,90
1.647463202,1.602141142,91.79592561,94.39268841,1.230769231,205.5298309,1299.870239,1147.404175,9.965176582,1.92855227,9.965176582,13.49526978,0,90
1.548907518,1.588163257,90.99505178,88.74586366,1.237762238,205.6284637,1286.664795,1142.17334,9.956758499,0.945551932,9.956758499,13.4995203,0,90
1.610645771,1.583236575,90.71277373,92.28320497,1.244755245,205.726944,1300.473999,1145.911255,9.948384285,1.861369252,9.948384285,13.50374222,0,90
1.606840611,1.599662304,91.65389866,92.06518533,1.251748252,205.8236389,1294.423706,1154.767456,9.939986229,2.976125717,9.939986229,13.50789452,0,90
1.597379327,1.586796522,90.91674366,91.52309371,1.258741259,205.9259033,1292.823975,1155.477417,9.93162632,3.921006441,9.93162632,13.51224422,0,90
1.592490554,1.584026456,90.75803056,91.24298765,1.265734266,206.0279541,1274.651367,1153.066406,9.923298836,3.114560127,9.923298836,13.51657295,0,90
