xneg_PatMatNP,yneg_PatMatNP,xpos_PatMatNP,ypos_PatMatNP,xquant_PatMatNP,yquant_PatMatNP
-46.32934861456055,0.0008435348071844957,-21.763592275967643,0.000233642296119555,22.951240539550778,5.236313417921981e-5
-45.84657530703102,0.001151823554093121,-21.364009256754656,0.00024289167352653087,22.951240539550778,0.045643602147874586
-45.363801999501476,0.0015358817896474319,-20.96442623754167,0.00025157220157409095,,
-44.88102869197194,0.002001712863269113,-20.564843218328683,0.0002626701368366791,,
-44.39825538444241,0.0025524418866324796,-20.165260199115693,0.000279245571850031,,
-43.915482076912866,0.0031881662788413177,-19.765677179902706,0.00030376680227904,,
-43.43270876938333,0.003906425041614102,-19.36609416068972,0.00033751551715906675,,
-42.9499354618538,0.004703234424352743,-18.966511141476733,0.0003802032879853295,,
-42.46716215432426,0.005574396742890564,-18.566928122263747,0.0004298955676012671,,
-41.98438884679472,0.006516589500886019,-18.167345103050756,0.0004832724814295935,,
-41.50161553926519,0.007527696721354393,-17.76776208383777,0.0005361810069723672,,
-41.01884223173565,0.00860603000164149,-17.368179064624783,0.0005843659512189848,,
-40.53606892420611,0.009748487082654895,-16.968596045411797,0.0006242216783795252,,
-40.05329561667658,0.010948180063561117,-16.56901302619881,0.0006533950713778413,,
-39.57052230914704,0.012192425475620113,-16.169430006985824,0.0006711005630779099,,
-39.0877490016175,0.013462028221964953,-15.769846987772835,0.0006780791790573715,,
-38.60497569408797,0.014732431493050188,-15.370263968559847,0.0006762311026343793,,
-38.12220238655843,0.015976645258964774,-14.97068094934686,0.000668047618546509,,
-37.63942907902889,0.017169165537247212,-14.571097930133872,0.0006560293499306725,,
-37.15665577149936,0.01828966632963437,-14.171514910920886,0.0006422764012430216,,
-36.67388246396982,0.019325302056551842,-13.771931891707899,0.0006283664224811525,,
-36.191109156440284,0.02027100581988011,-13.37234887249491,0.0006155209409340912,,
-35.70833584891075,0.021127980843217306,-12.972765853281924,0.0006049432239632579,,
-35.22556254138121,0.02190129296153236,-12.573182834068938,0.0005981417262950217,,
-34.742789233851674,0.02259774735734899,-12.17359981485595,0.0005970634109309759,,
-34.26001592632214,0.023224939069899354,-11.774016795642963,0.0006039488122581782,,
-33.7772426187926,0.02379164644616151,-11.374433776429974,0.0006209487970337247,,
-33.294469311263065,0.0243089461337422,-10.974850757216988,0.0006496553032361996,,
-32.81169600373353,0.024790962912539613,-10.575267738004001,0.0006907442803366415,,
-32.32892269620399,0.025254262959513607,-10.175684718791013,0.0007438870426283267,,
-31.846149388674455,0.025715513397095435,-9.776101699578026,0.0008079744728656469,,
-31.363376081144917,0.026187872704399873,-9.37651868036504,0.0008815675689100067,,
-30.88060277361538,0.02667725596551828,-8.976935661152051,0.000963397883368895,,
-30.397829466085845,0.027179836866231655,-8.577352641939065,0.0010527338082692971,,
-29.915056158556308,0.027681823461883814,-8.177769622726077,0.0011495051047851735,,
-29.43228285102677,0.028161824450832738,-7.77818660351309,0.001254198208189381,,
-28.949509543497236,0.02859529255343318,-7.3786035843001025,0.001367635094990427,,
-28.466736235967698,0.02895988465156377,-6.979020565087115,0.001490774642644206,,
-27.98396292843816,0.02924030980531378,-6.5794375458741285,0.0016246127262956578,,
-27.501189620908626,0.029431398104577493,-6.179854526661141,0.0017701416864546937,,
-27.018416313379088,0.029538635775690728,-5.780271507448154,0.0019282315150746922,,
-26.53564300584955,0.02957610811298041,-5.380688488235166,0.002099281485036033,,
-26.052869698320016,0.029562471712974263,-4.98110546902218,0.00228258744187543,,
-25.57009639079048,0.029516059642177673,-4.581522449809192,0.002475541550154079,,
-25.08732308326094,0.029450388303835034,-4.181939430596205,0.0026729461880129145,,
-24.604549775731407,0.029371156101024826,-3.7823564113832178,0.002866793597613053,,
-24.12177646820187,0.02927537366051191,-3.3827733921702303,0.0030467882053031347,,
-23.63900316067233,0.029152689525582167,-2.9831903729572433,0.0032016842764449405,,
-23.156229853142797,0.028988442761341316,-2.583607353744256,0.0033212508768971174,,
-22.67345654561326,0.028767619082052137,-2.184024334531269,0.0033984558885938186,,
-22.19068323808372,0.028478771131734346,-1.7844413153182814,0.0034313591196535632,,
-21.707909930554187,0.028117070394683034,-1.3848582961052942,0.003424250946470533,,
-21.22513662302465,0.027685920062823444,-0.985275276892307,0.0033877437599434067,,
-20.742363315495112,0.027196891457127323,-0.5856922576793198,0.003337759223586869,,
-20.259590007965578,0.026668078665998362,-0.1861092384663325,0.003293586451994046,,
-19.77681670043604,0.02612124450826327,0.2134737807466547,0.00327535984969521,,
-19.294043392906502,0.025578320840661944,0.6130567999596419,0.0033013906191373013,,
-18.811270085376965,0.02505790674130925,1.0126398191726291,0.0033857783538893973,,
-18.32849677784743,0.024572374432679657,1.4122228383856164,0.0035366442896420727,,
-17.845723470317893,0.024126060486216207,1.8118058575986036,0.003755194774295143,,
-17.362950162788355,0.023714822721709185,2.211388876811591,0.004035678022274569,,
-16.88017685525882,0.023327021468971407,2.6109718960245782,0.004366173291818225,,
-16.397403547729283,0.02294576861364667,3.0105549152375652,0.004730071900247486,,
-15.914630240199747,0.02255209473425236,3.4101379344505527,0.005108076792779581,,
-15.431856932670211,0.022128522929854823,3.8097209536635397,0.00548054310691505,,
-14.949083625140673,0.021662427558840264,4.209303972876527,0.005829975514143111,,
-14.466310317611137,0.02114853510177528,4.608886992089515,0.006143464457989974,,
-13.983537010081601,0.02059003461671202,5.008470011302501,0.006414783284966661,,
-13.500763702552064,0.019998021723227885,5.408053030515489,0.006645814787581206,,
