xneg_TopPush,yneg_TopPush,xpos_TopPush,ypos_TopPush,xquant_TopPush,yquant_TopPush
-521.3069270935415,4.798361192775435e-6,-272.03272808687086,2.945766520828258e-5,42.540234374999756,4.798361192775435e-6
-517.3263647138474,5.72237328441607e-6,-268.9386723741485,2.7570746490621913e-5,42.540234374999756,0.007167325082204299
-513.3458023341533,6.921097439689453e-6,-265.84461666142613,2.4595090575225818e-5,,
-509.3652399544592,8.531180529192263e-6,-262.7505609487038,2.1061890492672308e-5,,
-505.384677574765,1.0589556435317056e-5,-259.65650523598146,1.7581209433927462e-5,,
-501.4041151950709,1.3006448844698525e-5,-256.56244952325915,1.4742549136573858e-5,,
-497.4235528153768,1.562117606651367e-5,-253.46839381053678,1.3038884771944021e-5,,
-493.4429904356827,1.8307991737425346e-5,-250.37433809781444,1.2824218449781043e-5,,
-489.46242805598854,2.105411239341346e-5,-247.2802823850921,1.4301492936794065e-5,,
-485.48186567629443,2.3944715124501784e-5,-244.18622667236977,1.753126855351173e-5,,
-481.5013032966003,2.7056479927328974e-5,-241.09217095964743,2.2452586908904368e-5,,
-477.5207409169062,3.0331863170774028e-5,-237.99811524692507,2.8911654212875582e-5,,
-473.54017853721206,3.352577358275942e-5,-234.90405953420273,3.6695796060177006e-5,,
-469.55961615751795,3.627235677560856e-5,-231.8100038214804,4.55670087332137e-5,,
-465.57905377782384,3.8248244804693265e-5,-228.71594810875806,5.5283906971447665e-5,,
-461.59849139812974,3.9356800374580753e-5,-225.62189239603572,6.559893865076146e-5,,
-457.6179290184356,3.984678158886904e-5,-222.52783668331338,7.622441154578011e-5,,
-453.63736663874147,4.030347722101535e-5,-219.43378097059104,8.677591437669191e-5,,
-449.65680425904736,4.1499824336607984e-5,-216.33972525786868,9.671856513426177e-5,,
-445.6762418793532,4.415715702376151e-5,-213.24566954514634,0.00010535050800383687,,
-441.6956794996591,4.8714518318397e-5,-210.151613832424,0.0001118520006791432,,
-437.715117119965,5.520801800262154e-5,-207.05755811970167,0.00011540711204212951,,
-433.7345547402709,6.330759637402518e-5,-203.96350240697933,0.00011537611229493556,,
-429.7539923605767,7.24818509017281e-5,-200.869446694257,0.00011147213922884744,,
-425.7734299808826,8.221285406210022e-5,-197.77539098153463,0.00010388659062701495,,
-421.7928676011885,9.218067060979883e-5,-194.6813352688123,9.33187702143358e-5,,
-417.8123052214944,0.00010235894053106454,-191.58727955608995,8.089319152896467e-5,,
