BaseLine_fprates,BaseLine_tprates,DeepTopPush_fprates,DeepTopPush_tprates,PatMatNP(0.01)_fprates,PatMatNP(0.01)_tprates,PatMatNP(0.05)_fprates,PatMatNP(0.05)_tprates,APPerf(0.01)_fprates,APPerf(0.01)_tprates,APPerf(0.05)_fprates,APPerf(0.05)_tprates,TFCO(0.01)_fprates,TFCO(0.01)_tprates,TFCO(0.05)_fprates,TFCO(0.05)_tprates
0.0009090909090909091,0.078,0.0009090909090909091,0.352,0.0009090909090909091,0.238,0.0009090909090909091,0.08600000000000001,0.0009090909090909091,0.19,0.0009090909090909091,0.19,0.0009090909090909091,0.31099999999999994,0.0009090909090909091,0.3369999999999999
0.0010101010101010099,0.08599999999999998,0.0010101010101010099,0.36600000000000005,0.0010101010101010099,0.25,0.0010101010101010099,0.096,0.00101010101010101,0.2,0.00101010101010101,0.21,0.0010101010101010099,0.32700000000000007,0.0010101010101010099,0.3470000000000001
0.0010101010101010099,0.08599999999999998,0.0010101010101010099,0.36600000000000005,0.0010101010101010099,0.25,0.0010101010101010099,0.096,0.00101010101010101,0.2,0.00101010101010101,0.21,0.0010101010101010099,0.32700000000000007,0.0010101010101010099,0.3470000000000001
0.0010101010101010099,0.08599999999999998,0.0010101010101010099,0.36600000000000005,0.0010101010101010099,0.25,0.0010101010101010099,0.096,0.00101010101010101,0.2,0.00101010101010101,0.21,0.0010101010101010099,0.32700000000000007,0.0010101010101010099,0.3470000000000001
0.0010101010101010099,0.08599999999999998,0.0010101010101010099,0.36600000000000005,0.0010101010101010099,0.25,0.0010101010101010099,0.096,0.00101010101010101,0.2,0.00101010101010101,0.21,0.0010101010101010099,0.32700000000000007,0.0010101010101010099,0.3470000000000001
0.0011111111111111111,0.09399999999999999,0.0011111111111111111,0.38499999999999995,0.0011111111111111111,0.28200000000000003,0.0011111111111111111,0.10599999999999998,0.0011111111111111111,0.21,0.0011111111111111111,0.22,0.0011111111111111111,0.3350000000000001,0.0011111111111111111,0.3470000000000001
0.0011111111111111111,0.09399999999999999,0.0011111111111111111,0.38499999999999995,0.0011111111111111111,0.28200000000000003,0.0011111111111111111,0.10599999999999998,0.0011111111111111111,0.21,0.0011111111111111111,0.22,0.0011111111111111111,0.3350000000000001,0.0011111111111111111,0.3470000000000001
0.0011111111111111111,0.09399999999999999,0.0011111111111111111,0.38499999999999995,0.0011111111111111111,0.28200000000000003,0.0011111111111111111,0.10599999999999998,0.0011111111111111111,0.21,0.0011111111111111111,0.22,0.0011111111111111111,0.3350000000000001,0.0011111111111111111,0.3470000000000001
0.0011111111111111111,0.09399999999999999,0.0011111111111111111,0.38499999999999995,0.0011111111111111111,0.28200000000000003,0.0011111111111111111,0.10599999999999998,0.0011111111111111111,0.21,0.0011111111111111111,0.22,0.0011111111111111111,0.3350000000000001,0.0011111111111111111,0.3470000000000001
0.0012121212121212123,0.10600000000000001,0.0012121212121212123,0.392,0.0012121212121212123,0.29700000000000004,0.0012121212121212123,0.11000000000000001,0.0012121212121212121,0.22,0.0012121212121212121,0.23,0.0012121212121212123,0.3469999999999999,0.0012121212121212123,0.362
0.0012121212121212123,0.10600000000000001,0.0012121212121212123,0.392,0.0012121212121212123,0.29700000000000004,0.0012121212121212123,0.11000000000000001,0.0012121212121212121,0.22,0.0012121212121212121,0.23,0.0012121212121212123,0.3469999999999999,0.0012121212121212123,0.362
0.0012121212121212123,0.10600000000000001,0.0012121212121212123,0.392,0.0012121212121212123,0.29700000000000004,0.0012121212121212123,0.11000000000000001,0.0012121212121212121,0.22,0.0012121212121212121,0.23,0.0012121212121212123,0.3469999999999999,0.0012121212121212123,0.362
0.0013131313131313131,0.11500000000000002,0.0013131313131313131,0.41,0.0013131313131313131,0.307,0.0013131313131313131,0.124,0.0013131313131313131,0.23,0.0013131313131313131,0.23,0.0013131313131313131,0.362,0.0013131313131313131,0.378
0.0013131313131313131,0.11500000000000002,0.0013131313131313131,0.41,0.0013131313131313131,0.307,0.0013131313131313131,0.124,0.0013131313131313131,0.23,0.0013131313131313131,0.23,0.0013131313131313131,0.362,0.0013131313131313131,0.378
0.0013131313131313131,0.11500000000000002,0.0013131313131313131,0.41,0.0013131313131313131,0.307,0.0013131313131313131,0.124,0.0013131313131313131,0.23,0.0013131313131313131,0.23,0.0013131313131313131,0.362,0.0013131313131313131,0.378
0.0014141414141414144,0.11800000000000002,0.0014141414141414144,0.42799999999999994,0.0014141414141414144,0.325,0.0014141414141414144,0.131,0.0014141414141414141,0.25,0.0014141414141414141,0.23,0.0014141414141414144,0.38299999999999995,0.0014141414141414144,0.39699999999999996
0.0014141414141414144,0.11800000000000002,0.0014141414141414144,0.42799999999999994,0.0014141414141414144,0.325,0.0014141414141414144,0.131,0.0014141414141414141,0.25,0.0014141414141414141,0.23,0.0014141414141414144,0.38299999999999995,0.0014141414141414144,0.39699999999999996
0.0014141414141414144,0.11800000000000002,0.0014141414141414144,0.42799999999999994,0.0014141414141414144,0.325,0.0014141414141414144,0.131,0.0014141414141414141,0.25,0.0014141414141414141,0.23,0.0014141414141414144,0.38299999999999995,0.0014141414141414144,0.39699999999999996
0.001515151515151515,0.126,0.001515151515151515,0.43999999999999995,0.001515151515151515,0.33799999999999997,0.001515151515151515,0.13999999999999999,0.0015151515151515152,0.26,0.0015151515151515152,0.26,0.001515151515151515,0.38699999999999996,0.001515151515151515,0.39799999999999996
